Date,Team,Acquired,Relinquished,Notes
2013-11-25,Grizzlies,,Marc Gasol,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-25,Heat,,Mario Chalmers,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-25,Jazz,,Enes Kanter,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-25,Knicks,,Raymond Felton,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-25,Pistons,,Peyton Siva,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-25,Rockets,,Greg Smith ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-25,Rockets,,James Harden,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-25,Rockets,,Ronnie Brewer,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-25,Spurs,,Aron Baynes,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-25,Spurs,Boris Diaw,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-25,Timberwolves,,Shabazz Muhammad,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-26,Lakers,,Chris Kaman,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-26,Magic,,Tobias Harris,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-26,Magic,Kyle O'Quinn,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-26,Nets,,Deron Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-26,Nets,,Jason Terry,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-26,Raptors,,Austin Daye,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-26,Warriors,,Ognen Kuzmic,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-26,Warriors,Jermaine O'Neal,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-26,Wizards,,Al Harrington,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-26,Wizards,,Bradley Beal,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-26,Wizards,Chris Singleton,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,76ers,,Spencer Hawes,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,76ers,,Tony Wroten Jr.,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,Bucks,,Nate Wolters,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,Cavaliers,,Tyler Zeller,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,Celtics,,Kelly Olynyk,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,Clippers,,Matt Barnes,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,Hawks,,Kyle Korver,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,Hawks,,Lou Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,Hawks,,Shelvin Mack,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,Hawks,Elton Brand,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,Heat,,Shane Battier,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,Heat,Mario Chalmers,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,Lakers,,Chris Kaman,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,Nets,,Deron Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,Rockets,,Greg Smith ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,Rockets,,James Harden,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,Spurs,,Nando De Colo,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,Spurs,Aron Baynes,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,Thunder,,Ryan Gomes,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-27,Thunder,Russell Westbrook,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Bobcats,,Michael Kidd-Gilchrist,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Bobcats,James Southerland,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Bucks,,Caron Butler,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Cavaliers,,Will Bynum,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Celtics,,Courtney Lee,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Celtics,,Kelly Olynyk,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Clippers,,Chris Paul,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Clippers,,Matt Barnes,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Hawks,,Kyle Korver,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Hawks,Lou Williams,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Heat,,Roger Mason Jr.,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Heat,Shane Battier,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Jazz,,Ian Clark,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Jazz,,Mike Harris,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Jazz,Andris Biedrins,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Jazz,Brandon Rush,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Jazz,Enes Kanter,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Lakers,,Chris Kaman,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Magic,,Jameer Nelson,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Nets,,Deron Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Nets,,Jason Terry,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Nets,,Kevin Garnett,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Nets,Brook Lopez,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Pelicans,,Jeff Withey,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Pelicans,Darius Miller,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Pistons,Peyton Siva,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Raptors,,Aaron Gray,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Raptors,Quincy Acy,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Rockets,,Greg Smith ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Rockets,,Jeremy Lin,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Spurs,, Tony Parker,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Spurs,Nando De Colo,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Suns,,Alex Len,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Suns,Eric Bledsoe,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-29,Wizards,,Nene Hilario ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Bucks,,Caron Butler,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Bucks,,Ersan Ilyasova,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Cavaliers,,Carrick Felix,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Cavaliers,,Earl Clark,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Cavaliers,C.J. Miles,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Cavaliers,Henry Sims,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Celtics,,Courtney Lee,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Celtics,,Kelly Olynyk,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Grizzlies,,Zach Randolph,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Hawks,,Lou Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Jazz,,Andris Biedrins,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Mavericks,,Jose Calderon,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Nets,,Deron Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Nets,,Paul Pierce,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Rockets,,Greg Smith ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Rockets,,Jeremy Lin,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Spurs,,Nando De Colo,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Spurs, Tony Parker,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Suns,,Alex Len,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Timberwolves,,Shabazz Muhammad,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-11-30,Wizards,,Al Harrington,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-01,Bobcats,,James Southerland,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-01,Bobcats,Michael Kidd-Gilchrist,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-01,Clippers,,J.J. Redick,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-01,Clippers,,Matt Barnes,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-01,Kings,,Hamady N'Diaye,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-01,Kings,Ray McCallum Jr.,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-01,Lakers,,Chris Kaman,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-01,Pelicans,,Anthony Davis,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-02,Lakers,,Jordan Farmar,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-02,Magic,,Jameer Nelson,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-02,Pelicans,,Anthony Davis,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-02,Pelicans,Jeff Withey,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-02,Rockets,,Chandler Parsons,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-02,Rockets,,Greg Smith ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-02,Rockets,,Jeremy Lin,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-03,Bucks,,Caron Butler,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-03,Celtics,,Kelly Olynyk,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-03,Grizzlies,,Zach Randolph,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-03,Heat,,Dwyane Wade,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-03,Heat,,Dwyane Wade,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-03,Heat,Roger Mason Jr.,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-03,Kings,,DeMarcus Cousins,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-03,Kings,Hamady N'Diaye,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-03,Magic,,Jameer Nelson,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-03,Magic,,Nikola Vucevic,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-03,Nets,,Deron Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-03,Nets,,Paul Pierce,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-03,Raptors,,Dwight Buycks,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-03,Raptors,Aaron Gray,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-03,Thunder,,Andre Roberson,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-03,Thunder,Ryan Gomes,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-04,Bobcats,,Michael Kidd-Gilchrist,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-04,Bucks,,Caron Butler,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-04,Cavaliers,,Henry Sims,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-04,Cavaliers,Earl Clark,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-04,Clippers,,J.J. Redick,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-04,Clippers,,Matt Barnes,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-04,Hawks,Kyle Korver,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-04,Jazz,,Jeremy Evans,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-04,Jazz,,Marvin Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-04,Jazz,Ian Clark,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-04,Jazz,Mike Harris,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-04,Rockets,,Chandler Parsons,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-04,Rockets,,Greg Smith ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-04,Rockets,,Jeremy Lin,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-04,Rockets,,Omer Asik,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-04,Hawks,,Dennis Schroder,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-05,Bulls,,Mike James ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-05,Clippers,,J.J. Redick,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-05,Clippers,,Matt Barnes,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-05,Grizzlies,,Tony Allen,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-05,Nets,,Deron Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-05,Nets,,Paul Pierce,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,76ers,,Michael Carter-Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Bobcats,,Michael Kidd-Gilchrist,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Bobcats,James Southerland,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Bucks,,Caron Butler,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Bucks,,Zaza Pachulia,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Celtics,,Kelly Olynyk,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Jazz,,Ian Clark,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Jazz,Jeremy Evans,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Kings,DeMarcus Cousins,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Knicks,,Amar'e Stoudemire,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Lakers,,Chris Kaman,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Lakers,,Jordan Farmar,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Magic,,Nikola Vucevic,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Raptors,,Aaron Gray,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Raptors,Austin Daye,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Rockets,,Greg Smith ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Rockets,,Jeremy Lin,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Rockets,,Omer Asik,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Wizards,,Al Harrington,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Wizards,,Kevin Seraphin,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Wizards,Otto Porter Jr.,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Hawks,,John Jenkins,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Kings,,Hamady N'Diaye,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-06,Hawks,Jared Cunningham,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,76ers,,Michael Carter-Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,Bucks,,Caron Butler,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,Bucks,,Zaza Pachulia,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,Bulls,,Luol Deng,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,Bulls,,Mike James ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,Clippers,,J.J. Redick,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,Clippers,,Matt Barnes,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,Grizzlies,,Ed Davis ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,Grizzlies,,Tony Allen,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,Heat,,Michael Beasley,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,Heat,Dwyane Wade,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,Jazz,,Derrick Favors,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,Jazz,Ian Clark,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,Kings,,Ray McCallum Jr.,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,Nets,,Deron Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,Nets,,Paul Pierce,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,Nuggets,,Ty Lawson,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,Spurs,,Malcolm Thomas ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-07,Kings,Hamady N'Diaye,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-08,Celtics,,Kelly Olynyk,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-08,Heat,,Dwyane Wade,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-08,Heat,Michael Beasley,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-08,Knicks,,Kenyon Martin,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-08,Lakers,,Chris Kaman,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-08,Lakers,,Jordan Farmar,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-08,Lakers,Kobe Bryant,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-08,Magic,,Nikola Vucevic,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-08,Pistons,,Rodney Stuckey,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-08,Raptors,,Quincy Acy,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-08,Raptors,,Rudy Gay,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-08,Raptors,,Tyler Hansbrough,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-08,Raptors,Dwight Buycks,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-08,Rockets,,Greg Smith ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-08,Rockets,,Jeremy Lin,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-08,Rockets,,Omer Asik,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,76ers,,Elliot Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,76ers,,Michael Carter-Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,Bobcats,,Bismack Biyombo,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,Bobcats,,Jeff Taylor ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,Bucks,,Zaza Pachulia,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,Clippers,,J.J. Redick,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,Clippers,,Matt Barnes,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,Clippers,,Reggie Bullock,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,Grizzlies,,Ed Davis ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,Grizzlies,,Quincy Pondexter,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,Grizzlies,,Tony Allen,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,Kings,Ray McCallum Jr.,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,Magic,,Nikola Vucevic,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,Nuggets,,Ty Lawson,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,Pelicans,,Tyreke Evans,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,Warriors,Toney Douglas,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,Wizards,,Al Harrington,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,Wizards,,Martell Webster,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,Wizards,,Nene Hilario ,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-09,Wizards,Kevin Seraphin,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-10,Bucks,,Caron Butler,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-10,Bucks,,Gary Neal,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-10,Bucks,,Zaza Pachulia,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-10,Bulls,,Joakim Noah,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-10,Bulls,,Luol Deng,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-10,Celtics,,Kelly Olynyk,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-10,Hawks,,Gustavo Ayon,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-10,Heat,,Michael Beasley,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-10,Heat,Dwyane Wade,,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-10,Knicks,,Kenyon Martin,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-10,Lakers,,Chris Kaman,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-10,Lakers,,Jordan Farmar,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2013-12-10,Pistons,,Rodney Stuckey,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
